date,symbol,total,technical,fundamental,supply_demand,market,valuation,dividend
2026-07-08,3231.T,57,13,18,0,-5,3,3
2026-07-08,8425.T,80,18,14,0,-5,0,3
2026-07-08,7011.T,69,18,11,0,-5,7,0
2026-07-08,9432.T,79,20,11,0,-5,0,3
2026-07-08,1928.T,69,9,18,0,-5,0,6
2026-07-08,7164.T,78,9,18,0,-5,3,3
2026-07-08,5401.T,69,10,16,0,-5,3,3
2026-07-08,9202.T,57,20,18,0,-5,-6,0
2026-07-08,8303.T,57,20,8,0,-5,2,0
2026-07-08,4307.T,57,20,7,0,-5,2,0
2026-07-08,4519.T,71,2,17,0,-5,7,0
2026-07-08,3003.T,61,6,7,0,-5,0,3
2026-07-08,8473.T,58,-3,6,0,-5,7,3
2026-07-08,2802.T,57,8,15,0,-5,-11,0
2026-07-08,8252.T,57,9,-3,0,-5,3,3
2026-07-08,1605.T,56,5,0,0,-5,3,3
2026-07-08,5805.T,56,-14,18,0,-5,7,0
2026-07-08,8593.T,53,14,-3,0,-5,-6,3
2026-07-08,3048.T,53,3,11,0,-5,-6,0
2026-07-08,8306.T,51,20,-1,0,-5,-13,0
2026-07-08,5802.T,51,-20,18,0,-5,8,0
2026-07-08,4188.T,51,20,-1,0,-5,-13,0
2026-07-08,8058.T,48,-11,11,0,-5,3,0
2026-07-08,3741.T,37,-20,12,0,-5,0,0
2026-07-08,3231.T,57,13,18,0,-5,3,3
2026-07-08,8425.T,80,18,14,0,-5,0,3
2026-07-08,7011.T,69,18,11,0,-5,7,0
2026-07-08,9432.T,79,20,11,0,-5,0,3
2026-07-08,1928.T,69,9,18,0,-5,0,6
2026-07-08,7164.T,78,9,18,0,-5,3,3
2026-07-08,5401.T,69,10,16,0,-5,3,3
2026-07-08,9202.T,57,20,18,0,-5,-6,0
2026-07-08,8303.T,57,20,8,0,-5,2,0
2026-07-08,4307.T,57,20,7,0,-5,2,0
2026-07-08,4519.T,71,2,17,0,-5,7,0
2026-07-08,3003.T,61,6,7,0,-5,0,3
2026-07-08,8473.T,58,-3,6,0,-5,7,3
2026-07-08,2802.T,57,8,15,0,-5,-11,0
2026-07-08,8252.T,57,9,-3,0,-5,3,3
2026-07-08,1605.T,56,5,0,0,-5,3,3
2026-07-08,5805.T,56,-14,18,0,-5,7,0
2026-07-08,8593.T,53,14,-3,0,-5,-6,3
2026-07-08,3048.T,53,3,11,0,-5,-6,0
2026-07-08,8306.T,51,20,-1,0,-5,-13,0
2026-07-08,5802.T,51,-20,18,0,-5,8,0
2026-07-08,4188.T,51,20,-1,0,-5,-13,0
2026-07-08,8058.T,48,-11,11,0,-5,3,0
2026-07-08,3741.T,37,-20,12,0,-5,0,0
2026-07-08,3231.T,57,13,18,0,-5,3,3
2026-07-08,7011.T,69,18,11,0,-5,7,0
2026-07-08,9432.T,79,20,11,0,-5,0,3
2026-07-08,1928.T,78,9,18,0,-5,0,6
2026-07-08,7164.T,78,9,18,0,-5,3,3
2026-07-08,9202.T,57,20,18,0,-5,-6,0
2026-07-08,8303.T,57,20,8,0,-5,2,0
2026-07-08,8425.T,74,18,8,0,-5,0,3
2026-07-08,4307.T,57,20,7,0,-5,2,0
2026-07-08,4519.T,71,2,17,0,-5,7,0
2026-07-08,5401.T,71,10,10,0,-5,3,3
2026-07-08,3003.T,61,6,7,0,-5,0,3
2026-07-08,8473.T,58,-3,6,0,-5,7,3
2026-07-08,2802.T,57,8,15,0,-5,-11,0
2026-07-08,8252.T,57,9,-3,0,-5,3,3
2026-07-08,1605.T,56,5,0,0,-5,3,3
2026-07-08,5805.T,56,-14,18,0,-5,7,0
2026-07-08,8593.T,53,14,-3,0,-5,-6,3
2026-07-08,3048.T,53,3,11,0,-5,-6,0
2026-07-08,8306.T,51,20,-1,0,-5,-13,0
2026-07-08,5802.T,51,-20,18,0,-5,8,0
2026-07-08,4188.T,51,20,-1,0,-5,-13,0
2026-07-08,8058.T,48,-11,11,0,-5,3,0
2026-07-08,3741.T,37,-20,12,0,-5,0,0
2026-07-08,3231.T,57,13,18,0,-5,3,3
2026-07-08,7011.T,69,18,11,0,-5,7,0
2026-07-08,9432.T,79,20,11,0,-5,0,3
2026-07-08,1928.T,78,9,18,0,-5,0,6
2026-07-08,7164.T,78,9,18,0,-5,3,3
2026-07-08,9202.T,57,20,18,0,-5,-6,0
2026-07-08,8425.T,74,18,8,0,-5,0,3
2026-07-08,4307.T,57,20,7,0,-5,2,0
2026-07-08,8303.T,57,20,8,0,-5,-2,0
2026-07-08,4519.T,71,2,17,0,-5,7,0
2026-07-08,5401.T,71,10,10,0,-5,3,3
2026-07-08,3003.T,61,6,7,0,-5,0,3
2026-07-08,8473.T,58,-3,6,0,-5,7,3
